,,Unique,Unique-values,use case from drugbank,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Clotrimazole,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Cloxacillin sodium salt,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Colistin sulfate,,,,,
Corticosteroids,,,,,
CTLA-4 blockade,,,,,
CTLA-4 blockade,,,,,
Cyclobenzaprine,,,,,
Cyclobenzaprine hydrochloride,,,,,
Cyclobenzaprine hydrochloride,,,,,
Cyclobenzaprine hydrochloride,,,,,
Cyclobenzaprine hydrochloride,,,,,
Cyclopenthiazide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclophosphamide,,,,,
Cyclosporin A,,,,,
Cyclosporin A,,,,,
Cyclosporin A,,,,,
Cyclosporin A,,,,,
Cyclosporin A,,,,,
Cyproheptadine hydrochloride,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cyproterone acetate,,,,,
Cytarabine,,,,,
Cytarabine,,,,,
Dacarbazine,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Danazol,,,,,
Dantrolene sodium salt,,,,,
Darifenacin hydrobromide,,,,,
Dasatinib,,,,,
Dasatinib,,,,,
Dasatinib,,,,,
Dasatinib,,,,,
Dasatinib,,,,,
Dasatinib,,,,,
Dasatinib,,,,,
Daunorubicin,,,,,
Daunorubicin,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Daunorubicin hydrochloride,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Deflazacort,,,,,
Demecarium bromide,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Demeclocycline hydrochloride,,,,,
Deptropine citrate,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dequalinium dichloride,,,,,
Dexamethasone,,,,,
Dexamethasone,,,,,
Dexamethasone,,,,,
Dexamethasone,,,,,
Dexamethasone,,,,,
Dexamethasone,,,,,
Dexamethasone,,,,,
Dexamethasone,,,,,
Dexamethasone,,,,,
Dexamethasone,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacerein,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diacetamate,,,,,
Diclazuril,,,,,
Diclazuril,,,,,
Diclazuril,,,,,
Diclazuril,,,,,
Diclazuril,,,,,
Diclazuril,,,,,
Diclazuril,,,,,
Diclazuril,,,,,
Diclazuril,,,,,
Diclofenac,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicloxacillin sodium salt hydrate,,,,,
Dicyclomine,,,,,
Dicyclomine,,,,,
Dicyclomine,,,,,
Dicyclomine,,,,,
Dicyclomine,,,,,
Dicyclomine,,,,,
Dicyclomine,,,,,
Dicyclomine hydrochloride,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diethylstilbestrol,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Diflorasone diacetate,,,,,
Digoxin,,,,,
Diloxanide furoate,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Diltiazem,,,,,
Dimethisoquin hydrochloride,,,,,
Diphenylpyraline,,,,,
Dipyridamole,,,,,
Dipyridamole,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Dirithromycin,,,,,
Disulfiram,,,,,
Doxazosin mesylate,,,,,
Doxazosin mesylate,,,,,
Doxazosin mesylate,,,,,
Doxorubicin,,,,,
Doxorubicin,,,,,
Doxorubicin,,,,,
Doxorubicin,,,,,
Doxorubicin,,,,,
Doxorubicin,,,,,
Doxorubicin,,,,,
Doxorubicin,,,,,
Doxorubicin,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxorubicin hydrochloride,,,,,
Doxycycline,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Doxycycline hydrochloride,,,,,
Drospirenone,,,,,
Drospirenone,,,,,
Drospirenone,,,,,
Drospirenone,,,,,
Drospirenone,,,,,
Drospirenone,,,,,
Drospirenone,,,,,
Drospirenone,,,,,
Drospirenone,,,,,
Drospirenone,,,,,
Duloxetine,,,,,
Duloxetine,,,,,
Duloxetine,,,,,
Duloxetine,,,,,
Duloxetine,,,,,
Duloxetine,,,,,
Duloxetine,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Ebselen,,,,,
Eburnamonine (-),,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Econazole nitrate,,,,,
Efavirenz,,,,,
Efavirenz,,,,,
Efavirenz,,,,,
Efavirenz,,,,,
Efavirenz,,,,,
Efavirenz,,,,,
Efavirenz,,,,,
Efavirenz,,,,,
Efavirenz,,,,,
Efavirenz,,,,,
Enalapril maleate,,,,,
Enalapril maleate,,,,,
Enalapril maleate,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enilconazole,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Enoxacin,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Entacapone,,,,,
Epirizole,,,,,
Epirizole,,,,,
Epirizole,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergonovine maleate,,,,,
Ergotamine tartrate,,,,,
Ergotamine tartrate,,,,,
Ergotamine tartrate,,,,,
Ergotamine tartrate,,,,,
Erlotinib,,,,,
Erlotinib,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estradiol Valerate,,,,,
Estramustine,,,,,
Estropipate,,,,,
Eszopiclone,,,,,
Eszopiclone,,,,,
Eszopiclone,,,,,
Eszopiclone,,,,,
Eszopiclone,,,,,
Eszopiclone,,,,,
Eszopiclone,,,,,
Eszopiclone,,,,,
Eszopiclone,,,,,
Ethaverine hydrochloride,,,,,
Ethaverine hydrochloride,,,,,
Ethaverine hydrochloride,,,,,
Ethaverine hydrochloride,,,,,
Ethaverine hydrochloride,,,,,
Ethopropazine,,,,,
Ethopropazine,,,,,
Ethopropazine,,,,,
Ethopropazine,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethopropazine hydrochloride,,,,,
Ethoxzolamide,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etodolac,,,,,
Etofenamate,,,,,
Etofenamate,,,,,
Etomidate,,,,,
Etomidate,,,,,
Etomidate,,,,,
Etomidate,,,,,
Etoposide,,,,,
Etoposide,,,,,
Etoposide,,,,,
Etretinate,,,,,
Ezetimibe,,,,,
Ezetimibe,,,,,
Ezetimibe,,,,,
Ezetimibe,,,,,
Ezetimibe,,,,,
Ezetimibe,,,,,
Ezetimibe,,,,,
Ezetimibe,,,,,
Ezetimibe,,,,,
Ezetimibe,,,,,
Fadrozole hydrochloride,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famciclovir,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Famprofazone,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Febuxostat,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
Felodipine,,,,,
